章节,标题,起始行,结束行,行数
2185,虚空剑帝出手,359575,359728,154
2186,霸主联手,359729,359900,172
2187,他好像对女人不感兴趣,359901,360066,166
2188,大帝斩真仙?,360067,360226,160
2189,他好像想干我们,360227,360374,148
2190,疯狂凿地,360375,360531,157
2191,凿猪的虚空剑帝,360532,360700,169
2192,虚空剑帝自爆,360701,360881,181
2193,五大派系,360882,361047,166
2194,强势进入,361048,361210,163
2195,毒更强了,361211,361397,187
2196,天阳玉石,361398,361566,169
2197,铁河真仙,361567,361747,181
2198,千寒大帝,361748,361937,190
2199,惊恐的霸土大帝,361938,362103,166
2200,让八哥出去叫嚣,362104,362281,178
2201,陈家的威严算个屁,362282,362453,172
2202,玄冰世界,362454,362604,151
2203,封心斩,362605,362755,151
2204,一剑三千年,362756,362927,172
2205,被迫突破,362928,363075,148
2206,遮仙伞,363076,363211,136
2207,七彩宝莲和仙蚕茧,363212,363380,169
2208,遮仙伞成,363381,363531,151
2209,互有利弊,363532,363670,139
2210,悲催的黑炎虎,363671,363848,178
2211,金霞大帝,363849,364038,190
2212,小心他的剑,364039,364195,157
2213,叶空的师兄,364196,364328,133
2214,他是天才,364329,364464,136
2215,仙人峰大赛,364465,364603,139
2216,挖到玉髓了,364604,364790,187
2217,黑色石头开裂,364791,365016,226
2218,特殊生命?,365017,365215,199
2219,寂灭魂针,365216,365327,112
2220,藏身蝙蝠洞,365328,365463,136
2221,卖货换梦幻仙露,365464,365635,172
2222,金色茧子,365636,365840,205
2223,人跑了，矿空了,365841,365994,154
2224,第十境,365995,366199,205
2225,小星要渡劫,366200,366356,157
2226,大帝魔星藤,366357,366504,148
2227,剑盟的人在找你,366505,366667,163
2228,灵魂大杀器,366668,366845,178
2229,绝望深渊,366846,367029,184
2230,战阵成功,367030,367186,157
2231,最强攻击,367187,367343,157
2232,被窥视的感觉,367344,367509,166
2233,八哥得到的大杀器,367510,367672,163
2234,星魂泪,367673,367841,169
2235,炼器界的局外人,367842,367989,148
2236,浮仙剑阵,367990,368161,172
2237,浮仙大帝来了,368162,368363,202
2238,终于等到他了,368364,368550,187
2239,寂灭魂针的威力,368551,368752,202
2240,剑阵锁元,368753,368939,187
2241,百年后再见,368940,369090,151
2242,铁河真仙的决定,369091,369235,145
2243,炼制星魂泪,369236,369404,169
2244,十滴星魂泪,369405,369579,175
2245,对手来了,369580,369769,190
2246,千手大帝和黑莲子,369770,369944,175
2247,灭千手大帝,369945,370119,175
2248,灭星云宫,370120,370285,166
2249,金色星魂泪,370286,370439,154
2250,五五分账,370440,370587,148
2251,连一条狗都没留下,370588,370723,136
2252,创建浮仙城,370724,370874,151
2253,半仙境界的灵魂,370875,371022,148
2254,真仙境界，大赛开始,371023,371215,193
2255,仙人峰,371216,371363,148
2256,以杀戮为主,371364,371481,118
2257,黑暗盲蜥,371482,371674,193
2258,灵武大帝,371675,371831,157
2259,一把剑,371832,371955,124
2260,黑暗章脚龟,371956,372157,202
2261,剑难拔,372158,372335,178
2262,玄阴剑,372336,372495,160
2263,混乱星海,372496,372679,184
2264,小鹤蜕变,372680,372857,178
2265,红色星辰,372858,373047,190
2266,金光鸟,373048,373237,190
2267,金乌血脉,373238,373409,172
2268,七哥照样怼,373410,373617,208
2269,那枯树有生命,373618,373867,250
2270,被镇压的树妖,373868,374060,193
2271,九合一，真仙级妖兽,374061,374235,175
2272,树妖发芽,374236,374422,187
2273,十万年了,374423,374588,166
2274,树枝当柴,374589,374766,178
2275,新的修炼方向,374767,374935,169
2276,连续转身,374936,375110,175
2277,又开始狂了?,375111,375303,193
2278,树妖化形,375304,375454,151
2279,大力仙草爆发,375455,375674,220
2280,力量道纹,375675,375837,163
2281,一个生命周期,375838,376021,184
2282,星辰核心的石碑,376022,376199,178
2283,灵魂秘法,376200,376380,181
2284,噬魂风暴,376381,376558,178
2285,石碑消融,376559,376760,202
2286,绿金山脉,376761,376935,175
2287,幽寒大帝,376936,377086,151
2288,你就是浮仙大帝?,377087,377234,148
2289,山崩地裂,377235,377412,178
2290,伏地花出现,377413,377611,199
2291,永恒之壁,377612,377813,202
2292,寂灭天莲,377814,377976,163
2293,无忧战阵,377977,378133,157
2294,青莲战阵,378134,378293,160
2295,破青莲战阵,378294,378483,190
2296,留给他自己杀好了,378484,378661,178
2297,叶青瓷的排名,378662,378827,166
2298,伏地魔王,378828,379017,190
2299,绿金矿石,379018,379198,181
2300,发大招?,379199,379388,190
2301,万剑山,379389,379566,178
2302,真阳大帝,379567,379726,160
2303,金蝉岭的浮仙大帝,379727,379925,199
2304,战真阳大帝,379926,380094,169
2305,仙器阴阳剑,380095,380272,178
2306,灭杀真阳大帝,380273,380447,175
2307,五大家族的敌人,380448,380643,196
2308,万剑山巅,380644,380827,184
2309,金袍老者的实力,380828,380999,172
2310,进入时间秘境,381000,381156,157
2311,时光飞逝,381157,381343,187
2312,七千五百年,381344,381521,178
2313,万剑山碎,381522,381678,157
2314,被追杀的八哥,381679,381877,199
2315,群灭,381878,382022,145
2316,嗜血魔龙,382023,382218,196
2317,一个人的战场,382219,382390,172
2318,红云鳄,382391,382517,127
2319,仙弓,382518,382644,127
2320,看我怎么弄死它,382645,382810,166
2321,单挑独角魔音蛇,382811,382952,142
2322,继续来啊!,382953,383082,130
2323,看你能砍到什么时候,383083,383239,157
2324,仙弓到手,383240,383411,172
2325,独角魔音蛇，死!,383412,383568,157
2326,目标，冲第一,383569,383746,178
2327,青翅大鹏鸟,383747,383930,184
2328,秦广的危机感,383931,384099,169
2329,终遇叶青瓷,384100,384241,142
2330,灭陆家大帝,384242,384410,169
2331,你说谁变态呢?,384411,384585,175
2332,发现魔窟,384586,384763,178
2333,杀戮值第五名,384764,384974,211
2334,榜首,384975,385149,175
2335,魔化金甲犀,385150,385309,160
2336,他杀过七转真仙,385310,385466,157
2337,百亿杀戮值,385467,385686,220
2338,五大战阵,385687,385807,121
2339,化整为零,385808,385985,178
2340,落星仙剑,385986,386142,157
2341,仙剑锁阵,386143,386287,145
2342,黑石压仙阵,386288,386477,190
2343,陈兄，救命!,386478,386631,154
2344,真正的强者,386632,386809,178
2345,家喻户晓，浮仙大帝!,386810,386954,145
2346,混沌大仙,386955,387117,163
2347,五大家族的老祖,387118,387253,136
2348,天元仙山被毁,387254,387401,148
2349,权限提升,387402,387588,187
2350,奖励还没齐全,387589,387700,112
2351,五十亿贡献值,387701,387857,157
2352,九转长生丹,387858,387999,142
2353,传授灵剑诀,388000,388138,139
2354,千年之后,388139,388292,154
2355,天河图器灵,388293,388479,187
2356,难以抉择,388480,388618,139
2357,都朝上?,388619,388811,193
2358,融合路线,388812,389007,196
2359,断界碑,389008,389188,181
2360,前往螳螂山的通道,389189,389345,157
2361,是他，是他，就是他!,389346,389535,190
2362,我插翅难逃?,389536,389671,136
2363,去螳螂山看热闹,389672,389828,157
2364,五大战阵，不堪一击,389829,390033,205
2365,大帝境界，大仙实力,390034,390202,169
2366,又一块大白石,390203,390380,178
2367,九星连珠,390381,390552,172
2368,联系上分身,390553,390727,175
2369,蛮荒古域现状,390728,390893,166
2370,最新的浮仙战阵,390894,391020,127
2371,人在城在,391021,391180,160
2372,炼制仙器,391181,391346,166
2373,彩色流星泪,391347,391503,157
2374,威力还不够强,391504,391666,163
2375,灰色流星泪,391667,391856,190
2376,可重创大仙,391857,392037,181
2377,灵心宫主归来,392038,392209,172
2378,一颗黑色珠子,392210,392375,166
2379,抵达终焉之地,392376,392550,175
2380,玄黄大仙，欢迎光临,392551,392764,214
2381,幽灵界,392765,392915,151
2382,琼瑶仙露,392916,393102,187
2383,幽灵界的时间加速秘境,393103,393271,169
2384,世界之力,393272,393455,184
2385,噬魔仙剑,393456,393648,193
2386,黑石大仙,393649,393829,181
2387,一剑砍爆,393830,394004,175
2388,上场试宝,394005,394191,187
2389,优先权利,394192,394354,163
2390,拉同伴一把,394355,394493,139
2391,这功法要逆天,394494,394656,163
2392,全面召唤,394657,394879,223
2393,仙王之姿,394880,395072,193
2394,瑶池大仙,395073,395253,181
2395,剑帝,395254,395404,151
2396,幽灵界的时间秘境,395405,395576,172
2397,炼宝三百年,395577,395721,145
2398,受刺激的时间秘境,395722,395896,175
2399,隔绝世界之力,395897,396080,184
2400,堪比四转大仙,396081,396282,202
2401,陪他疯狂一把,396283,396469,187
2402,卷入魔族巢穴,396470,396656,187
2403,天魔散发威,396657,396882,226
2404,就剩下魔头了,396883,397075,193
2405,九转大仙自爆,397076,397274,199
2406,界源石,397275,397470,196
2407,遇到大祸了?,397471,397702,232
2408,分配贡献值,397703,397901,199
2409,半步仙王?,397902,398091,190
2410,人族准仙王,398092,398311,220
2411,杀回天外天,398312,398480,169
2412,浮游仙山,398481,398682,202
2413,一剑毁仙山,398683,398902,220
2414,无忧大仙出现,398903,399098,196
2415,五大老祖齐现,399099,399339,241
2416,灭五大家族,399340,399529,190
2417,天河图器灵召唤,399530,399725,196
2418,三根尖刺,399726,399873,148
2419,千倍的时间流速,399874,400030,157
2420,震惊天外天,400031,400181,151
2421,五大老祖复活,400182,400332,151
2422,打工还债,400333,400489,157
2423,人族像疯子,400490,400640,151
2424,突破，仙王战力,400641,400818,178
2425,拔尖刺,400819,401041,223
2426,豪猪真魔皇,401042,401216,175
2427,把尖刺收了,401217,401406,190
2428,天河图的主人,401407,401566,160
2429,想看你炼丹,401567,401783,217
2430,天机塔的塔灵,401784,401970,187
2431,长生道果,401971,402166,196
2432,命轮修复，寿元无尽,402167,402332,166
2433,无法保存,402333,402510,178
2434,见仙王,402511,402712,202
2435,偷天,402713,402920,208
2436,器灵的建议,402921,403065,145
2437,天外天本源空间修炼,403066,403240,175
2438,六转仙王,403241,403438,198
